date,latitude,longitude,precipitation,r_min,ssrd_mean,Tmax,Tavg,Tmin,ws10_mean
2/15/2015,48.51879699,1.255639098,0.46429884,73.44770592,54.76833423,7.961149065,5.652668053,3.271202369,2.272446222
2/16/2015,48.51879699,1.236842105,1.812286594,71.12130938,82.21411168,7.52890772,4.298010759,0.639147078,2.588232815
2/17/2015,48.52663934,1.245901639,0.280246565,70.45372793,63.14542045,7.429011866,5.288748352,1.988421082,4.27539586
2/18/2015,48.51626016,1.266260163,0.01459387,68.03590918,92.75816581,6.668552802,3.025480175,-0.55921998,2.177239637
2/19/2015,48.47137405,1.234732824,0.859305944,72.18244937,95.62817278,6.609145751,3.14254698,-0.952237895,4.069902967
2/20/2015,48.49806202,1.253875969,12.85445174,80.07860885,22.57309243,8.549624932,6.463005798,3.92741643,6.500388389
2/21/2015,48.51162791,1.23255814,3.420326536,75.98840909,85.98255478,5.754853233,3.47522796,0.9391418,3.874396802
2/22/2015,48.55961538,1.290384615,2.09778398,58.23054959,115.5730337,7.329511448,3.472070282,-1.495583167,4.466899118
2/23/2015,48.5018797,1.265037594,7.790672299,67.06441489,98.70594775,10.03864011,7.014924786,3.553516135,6.504176105
2/24/2015,48.52692308,1.251923077,2.557286626,68.99285605,104.1927019,8.485591942,5.099746072,2.571640015,5.674209402
2/25/2015,48.51119403,1.242537313,4.129032634,84.39988624,30.06487497,9.236515334,6.232115024,3.080951974,3.412007388
2/26/2015,48.48091603,1.230916031,6.299367048,87.73322223,18.11566232,11.1431165,8.969475197,6.538944863,4.000301616
2/27/2015,48.45895522,1.240671642,0.232158145,49.43910935,122.6003573,8.139936541,5.164092423,1.090014554,4.259355197
2/28/2015,48.5234375,1.2421875,2.999205631,68.8868455,44.98906244,8.903801206,5.075611246,0.475950479,5.370646151
3/1/2015,48.51145038,1.270992366,3.279806563,66.43619303,70.64961821,11.72328709,10.28006819,8.201767761,6.824021364
3/2/2015,48.48653846,1.265384615,2.993369219,52.52149989,130.1328565,9.630017788,7.650019968,4.249790378,6.240730306
3/3/2015,48.41865079,1.234126984,2.093984986,66.41920007,87.70743385,10.03347051,6.042071167,3.206330319,4.873638804
3/4/2015,48.51538462,1.255769231,0.687608798,57.27937222,144.8090785,8.18949514,4.785494684,1.684003857,4.445481637
3/5/2015,48.52559055,1.267716535,7.47E-05,56.17958461,153.2920067,10.33151703,4.96083306,0.389481194,2.663515899
3/6/2015,48.49615385,1.232692308,0.000131273,51.50952426,161.230682,11.92833837,5.335619033,-0.84187693,2.187281266
3/7/2015,48.50193798,1.224806202,0,41.39783503,162.5404256,15.61322331,7.540355738,1.163784532,2.88259143
3/8/2015,48.48214286,1.21031746,0.007422833,41.51538375,170.1253152,16.82575475,8.582468337,1.45499263,2.397273092
3/9/2015,48.48046875,1.25390625,0.032141106,71.22455437,116.4438728,12.67381291,8.715359857,5.900830261,2.100806912
3/10/2015,48.53148148,1.25,1.225391832,71.74605481,83.42872591,12.43904309,9.213494885,5.539685741,2.603458593
3/11/2015,48.48684211,1.261278195,0.329772695,58.48447196,143.5764743,14.33022936,9.654193273,5.835435924,2.959238639
3/12/2015,48.50559701,1.231343284,0,35.57954885,180.0335634,14.49479924,8.567293531,3.184921036,3.51316067
3/13/2015,48.46850394,1.293307087,1.828738916,52.17065806,80.23621405,10.1296908,6.974069822,3.71023463,2.755116987
3/14/2015,48.51587302,1.18452381,0.334936563,51.93017632,115.26157,8.238029102,5.382884799,2.44902741,4.334010713
3/15/2015,48.50763359,1.240458015,1.089897386,66.98360851,93.73888444,7.353785864,5.393031135,3.549160556,3.495574538
3/16/2015,48.54025424,1.220338983,0.36603132,54.5716968,152.5906946,11.44551579,6.744629854,2.329027855,2.074821705
3/17/2015,48.53269231,1.234615385,0.077660882,41.47857859,191.3455037,15.90752421,9.137854453,1.914002633,2.103386901
3/18/2015,48.53653846,1.242307692,0.116279034,56.26096325,173.6848144,14.66975593,9.592764748,5.734767022,4.091381093
3/19/2015,48.4905303,1.246212121,0.431538699,71.70122356,109.2749854,7.990403142,6.361985998,4.624597258,4.987879833
3/20/2015,48.518,1.276,1.517740898,71.10867746,137.309759,9.870620089,7.064466515,4.845204097,4.275394298
3/21/2015,48.53958333,1.2375,0.683954891,65.46068942,100.970425,9.416693098,6.22278844,3.610744992,4.617911078
3/22/2015,48.49404762,1.212301587,0.635188428,57.47844442,105.7507804,8.929478021,6.349320901,2.868461477,5.190661574
